Title,Level,Geographic,Year Agreed,Link,Sourcing Notes,Language,English available?,Plastic Types,Included in analysis?,Trade linked?,Filename,File link
446A.665 Opportunity to recycle rigid plastic containers,40_Subnational,"Oregon, United States",1991,https://www.oregonlegislature.gov/bills_laws/archive/2001ors459A.pdf,,English,Y,"Bottles,Bags",Y,N,13060_S_1991_446A_665_Opportunity_to_recycle_rigid_plastic_containers.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/13060_S_1991_446A_665_Opportunity_to_recycle_rigid_plastic_containers.pdf
"Act on the Promotion of Sorted Collection and Recycling of Containers and Packaging (Act No. 102 of June 16, 1995)",30_National,Japan,1995,https://www.meti.go.jp/policy/recycle/main/english/pamphlets/pdf/cReCont_2006.pdf,,English,Y,,Y,N,9021_N_1995_Act_on_the_Promotion.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/9021_N_1995_Act_on_the_Promotion.pdf
"Public Resource Code, Division 30 - Waste Management, Part 3 Chapter 5.6 - Plastic Ring Devices",40_Subnational,"California, United States",1996,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?lawCode=PRC&division=30.&title=&part=3.&chapter=5.6.&article=,,English,Y,,Y,N,13061_S_1996_Plastic_Ring_Devices.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/13061_S_1996_Plastic_Ring_Devices.pdf
Stratégie Algérienne et Plan d’Action National d’Utilisation de la Diversité Biologique,30_National,Algeria,1997,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC147747/,,French,N,,N,N,12102_N_1997_Stratégie_Algérienne_et_Plan.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/12102_N_1997_Stratégie_Algérienne_et_Plan.pdf
Regulation on the prevention and recovery of packaging waste (Packaging Ordinance-Packaging Ordinance),30_National,Germany,1998,https://www.global-regulation.com/,<p>The Global-Regulations database is a subscription-based resource that provides translated laws (using machine learning) from over 100 countries. They have kindly allowed us to download and share PDF files of translated plastic policy documents in our database.</p>,English,Y,Bottles,Y,N,13133_N_1998_regulation_on_the_prevention.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/13133_N_1998_regulation_on_the_prevention.pdf
Marine Pollution Act 1999,40_Subnational,"Northern Territory, Australia",1999,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC044538/,,English,Y,,Y,N,15104_S_1999_Marine_Pollution_Act.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/15104_S_1999_Marine_Pollution_Act.pdf
EU Directive 2000/53/EC of the European Parliament and of the Council on End-of Life Vehicles,20_Regional,European Union,2000,http://extwprlegs1.fao.org/docs/pdf/eur123517.pdf,,English,Y,,Y,N,2207_I_2000_Directive_2000_53_EC.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/2207_I_2000_Directive_2000_53_EC.pdf
Decision of the people's Government of Hainan Province on eliminating the white pollution,40_Subnational,"Hainan, China",2000,https://www.informea.org/en/legislation/decision-peoples-government-hainan-province-eliminating-white-pollution,,Chinese,N,,N,N,S_2266_S_2000_Decision_of_the_peoples.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/S_2266_S_2000_Decision_of_the_peoples.pdf
Act to Prevent Pollution from Ships (33 U.S.C.),30_National,United States,2000,http://extwprlegs1.fao.org/docs/pdf/usa144457.pdf,,English,Y,,Y,N,1046_N_2000_Act_to_prevent_pollution_from_ships.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/1046_N_2000_Act_to_prevent_pollution_from_ships.pdf
"China SETC ban on production and use of plastic tableware, 2001",30_National,China,2001,http://www.gov.cn/gongbao/content/2001/content_60799.htm,,Chinese,N,,N,N,2801_N_2001_ Ban_on_production_and_use_of_plastic_Tableware_files.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/2801_N_2001_ Ban_on_production_and_use_of_plastic_Tableware_files.pdf
